Rank,Year,Runtime_Minutes,Rating,Votes,Revenue_Millions,Metascore
838.0,838.0,838.0,838.0,838.0,838.0,838.0
485.2470167064439,2012.5071599045345,114.63842482100239,6.814319809069212,193230.25178997614,84.5645584725537,59.575178997613364
286.5720646344357,3.1723599152660173,18.470922051554552,0.8777538418027492,193099.00510393953,104.52022653335474,16.95241649434647
1.0,2006.0,66.0,1.9,178.0,0.0,11.0
238.25,2010.0,101.0,6.3,61276.5,13.967500000000001,47.0
475.5,2013.0,112.0,6.9,136879.5,48.150000000000006,60.0
729.75,2015.0,124.0,7.5,271083.0,116.80000000000001,72.0
1000.0,2016.0,187.0,9.0,1791916.0,936.63,100.0
